,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
00:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
00:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
01:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
01:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
02:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
02:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
03:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
03:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
04:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
04:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
05:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
05:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
06:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
06:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
07:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
07:30:00,Social media,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
08:00:00,Chores,Eating,Eating,Social media,Eating,Sleeping,Sleeping
08:30:00,Eating,Commuting,Commuting,Eating,Personal care,Social media,Sleeping
09:00:00,Personal care,Rest,Commuting,Personal care,Sport,Eating,Sleeping
09:30:00,Study,Rest,Study,Personal care,Sport,Social life,Sleeping
10:00:00,Study,Study,Study,Rest,Personal care,Chores,Personal care
10:30:00,Study,Study,Study,Phone time,Commuting,Chores,Commuting
11:00:00,Sport,Study,Study,Phone time,Sleeping,Chores,Chores
11:30:00,Sport,Study,Commuting,Study,Social media,Sleeping,Chores
12:00:00,Chores,Commuting,Commuting,Study,Chores,Chores,Chores
12:30:00,Eating,Eating,Eating,Eating,Eating,Eating,Eating
13:00:00,Eating,Eating,Sleeping,Eating,Eating,Chores,Chores
13:30:00,Social media,Social life,Sleeping,Personal care,Rest,Social media,Social media
14:00:00,Sleeping,Study,Personal care,Sleeping,Rest,Sleeping,Rest
14:30:00,Sleeping,Study,Study,Sleeping,Rest,Sleeping,Rest
15:00:00,Sleeping,Study,Study,Eating,Social media,Social media,Social media
15:30:00,Social media,Study,Study,Study,Social media,Social media,Social media
16:00:00,Personal care,Study,Study,Study,Commuting,Personal care,Study
16:30:00,Commuting,Study,Study,Study,Study,Personal care,Study
17:00:00,Commuting,Study,Study,Study,Study,Study,Social media
17:30:00,Study,Study,Study,Study,Study,Study,Study
18:00:00,Study,Personal care,Study,Study,Study,Study,Study
18:30:00,Study,Commuting,Study,Study,Social life,Study,Study
19:00:00,Study,Social life,Study,Study,Social life,Personal care,Social media
19:30:00,Study,Social media,Commuting,Study,Commuting,Chores,Personal care
20:00:00,Study,Eating,Eating,Commuting,Commuting,Eating,Eating
20:30:00,Eating,Phone time,Eating,Eating,Phone time,Phone time,Phone time
21:00:00,Social media,Eating,Social life,Social life,Eating,Chores,Personal care
21:30:00,Rest,Personal care,Social life,Phone time,Eating,Social life,Personal care
22:00:00,Rest,Social media,Social life,Phone time,Rest,Social media,Social media
22:30:00,Social media,Social media,Phone time,Social media,Rest,Rest,Social life
23:00:00,Sleeping,Sleeping,Social media,Sleeping,Rest,Social media,Sleeping
23:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
